Case#,Spacecraft#,Condition,SV1,SV2,SV3,SV4,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BV1
140,3,Fault,50,100,100,100,No,No,No,No,No,No,No,No
141,3,Fault,75,100,100,100,No,No,No,No,No,No,No,No
142,3,Fault,100,0,100,100,No,No,No,No,No,No,No,No
143,3,Fault,100,25,100,100,No,No,No,No,No,No,No,No
144,3,Fault,100,50,100,100,No,No,No,No,No,No,No,No
145,3,Fault,100,75,100,100,No,No,No,No,No,No,No,No
146,3,Fault,100,100,0,100,No,No,No,No,No,No,No,No
147,3,Fault,100,100,25,100,No,No,No,No,No,No,No,No
148,3,Fault,100,100,50,100,No,No,No,No,No,No,No,No
149,3,Fault,100,100,75,100,No,No,No,No,No,No,No,No
150,3,Fault,100,100,100,0,No,No,No,No,No,No,No,No
151,3,Fault,100,100,100,25,No,No,No,No,No,No,No,No
152,3,Fault,100,100,100,50,No,No,No,No,No,No,No,No
153,3,Fault,100,100,100,75,No,No,No,No,No,No,No,No
154,1,Anomaly,100,100,100,100,Yes,No,No,No,No,No,No,No
155,1,Anomaly,100,100,100,100,No,Yes,No,No,No,No,No,No
156,1,Anomaly,100,100,100,100,No,No,Yes,No,No,No,No,No
157,1,Anomaly,100,100,100,100,No,No,No,Yes,No,No,No,No
158,1,Anomaly,100,100,100,100,No,No,No,No,Yes,No,No,No
159,1,Anomaly,100,100,100,100,No,No,No,No,No,Yes,No,No
160,1,Anomaly,100,100,100,100,No,No,No,No,No,No,Yes,No
161,1,Anomaly,100,100,100,100,No,No,No,No,No,No,No,Yes
162,2,Anomaly,100,100,100,100,Yes,No,No,No,No,No,No,No
163,2,Anomaly,100,100,100,100,No,Yes,No,No,No,No,No,No
164,2,Anomaly,100,100,100,100,No,No,Yes,No,No,No,No,No
165,2,Anomaly,100,100,100,100,No,No,No,Yes,No,No,No,No
166,2,Anomaly,100,100,100,100,No,No,No,No,Yes,No,No,No
167,2,Anomaly,100,100,100,100,No,No,No,No,No,Yes,No,No
168,2,Anomaly,100,100,100,100,No,No,No,No,No,No,Yes,No
169,2,Anomaly,100,100,100,100,No,No,No,No,No,No,No,Yes
170,3,Anomaly,100,100,100,100,Yes,No,No,No,No,No,No,No
171,3,Anomaly,100,100,100,100,No,Yes,No,No,No,No,No,No
172,3,Anomaly,100,100,100,100,No,No,Yes,No,No,No,No,No
173,3,Anomaly,100,100,100,100,No,No,No,Yes,No,No,No,No
174,3,Anomaly,100,100,100,100,No,No,No,No,Yes,No,No,No
175,3,Anomaly,100,100,100,100,No,No,No,No,No,Yes,No,No
176,3,Anomaly,100,100,100,100,No,No,No,No,No,No,Yes,No
177,3,Anomaly,100,100,100,100,No,No,No,No,No,No,No,Yes
